"Country" "N" "MAAT" "MAF" "MAP" "AI" "Altitude" "Original_publication"
"ACA lakes" 52 "1.8 $\pm$ 3.4" "12 $\pm$ 2.7" "260 $\pm$ 120" "2500 $\pm$ 1500" "1200 $\pm$ 890" "Wang et al. (2021)"
"Armenia" 22 "6.8 $\pm$ 3.4" "12 $\pm$ 2.4" "420 $\pm$ 110" "3600 $\pm$ 1300" "1900 $\pm$ 610" "Cromartie et al. (in review)"
"Azerbaijan" 48 "12 $\pm$ 3.3" "13 $\pm$ 1.8" "510 $\pm$ 160" "4200 $\pm$ 1600" "560 $\pm$ 630" "This study"
"China" 120 "3.7 $\pm$ 6" "12 $\pm$ 4.7" "290 $\pm$ 170" "2800 $\pm$ 2000" "1600 $\pm$ 1300" "Wang et al. (2020), Wang et Liu (2021), Zang et al. (2018), Dang et al. (2018)"
"China, Inner Mong." 43 "1.3 $\pm$ 2.4" "12 $\pm$ 1.1" "280 $\pm$ 51" "2400 $\pm$ 730" "930 $\pm$ 310" "Guo et al. (2021), Li et al. (2017)"
"China, Qinghai" 48 "-0.012 $\pm$ 3.2" "7.5 $\pm$ 2.7" "410 $\pm$ 98" "4400 $\pm$ 1900" "3200 $\pm$ 680" "This study"
"China, Tian Shan" 18 "-2.1 $\pm$ 4.6" "8.9 $\pm$ 5.5" "280 $\pm$ 76" "3900 $\pm$ 2400" "2200 $\pm$ 760" "Duan et al. (2020)"
"China, Tibet" 129 "-1.5 $\pm$ 3" "6.1 $\pm$ 1.4" "240 $\pm$ 130" "2200 $\pm$ 1200" "4600 $\pm$ 240" "Kou et al. (2022)"
"Global BayMBT Soils" 15 "-1 $\pm$ 2.5" "8.8 $\pm$ 2.8" "330 $\pm$ 110" "3000 $\pm$ 1200" "2800 $\pm$ 1800" "Dearing Crampton-Flood et al. (2020)"
"Global soils" 48 "0.46 $\pm$ 3.6" "7.8 $\pm$ 3.3" "380 $\pm$ 76" "3400 $\pm$ 1000" "3600 $\pm$ 1500" "Naafs et al. (2017a)"
"Mongolia" 31 "1.1 $\pm$ 2.4" "12 $\pm$ 2.2" "230 $\pm$ 78" "2200 $\pm$ 1000" "1500 $\pm$ 220" "Dugerdil et al. (2021)"
"Northern Iran" 48 "17 $\pm$ 0.84" "17 $\pm$ 0.6" "330 $\pm$ 15" "1900 $\pm$ 110" "270 $\pm$ 140" "Duan et al. (2021)"
"Russia, Baikal" 20 "-0.21 $\pm$ 1.8" "9.3 $\pm$ 0.9" "430 $\pm$ 92" "5400 $\pm$ 1000" "530 $\pm$ 97" "Dugerdil et al. (2021), De Jonge et al. (2015a)/Khodzher et al. (2017)"
"Tajikistan" 65 "4.7 $\pm$ 4.6" "11 $\pm$ 2.4" "470 $\pm$ 260" "3700 $\pm$ 1800" "2600 $\pm$ 880" "This study, Chen et al. (2021)"
"Uzbekistan" 54 "12 $\pm$ 3.3" "14 $\pm$ 2.2" "360 $\pm$ 210" "2300 $\pm$ 1600" "1000 $\pm$ 760" "This study"
"World DB" 2709 "12 $\pm$ 8.8" "14 $\pm$ 6.5" "1200 $\pm$ 640" "11000 $\pm$ 6400" "730 $\pm$ 890" "Raberg et al. (2022)$^{(a)}$"
"Total ACA" 761 "3.7 $\pm$ 3.2" "11 $\pm$ 2.4" "350 $\pm$ 120" "3200 $\pm$ 1400" "1900 $\pm$ 720" NA
